councillor,meetings_attended,apologies_recorded,motions_proposed,motions_seconded
Pat Barden,43,0,6,27
Anthony Donohoe,42,0,60,70
Donal Kenny,39,1,32,64
Aidan Browne,36,3,20,25
Jim Moore,44,17,96,113
Kathleen Codd-Nolan,41,2,92,131
Leonard Kelly,36,6,90,116
John Hegarty,43,5,59,54
Michael Sheehan,46,20,312,186
David Hynes,36,7,71,94
Joe Sullivan,40,3,39,41
John Fleming,42,18,75,79
Mary Farrell,39,3,35,72
Michael Whelan,43,8,61,77
Pip Breen,38,6,71,97
Tom Forde,35,26,87,46
Willie Kavanagh,38,4,13,31
Oliver Walsh,38,7,36,74
Anthony Connick,33,3,24,45
Diarmuid Devereux,34,1,0,1
Maura Bell,38,3,19,39
Gary Laffan,34,4,19,27
John O'Rourke,37,1,42,32
Cathal Byrne,34,2,9,1
Fionntain O'Suilleabhain,28,1,4,1
Andrew Bolger,35,2,12,9
George Lawlor,33,5,109,103
Lisa McDonald,33,9,56,39
Jackser Owens,29,5,6,34
Frank Staples,28,6,16,22
Bridin Murphy,31,3,181,134
Barbara-Anne Murphy,26,3,1,4
Ger Codd,24,0,78,113
Ger Carthy,28,14,301,211
John Dwyer,1,4,14,10
Pat Kehoe,1,1,25,27
Raymond Shannon,1,2,0,7
Vicky Barron,0,2,0,0
Nicky Boland,1,0,0,2
Patricia Byrne,0,1,0,0
Craig Doyle,0,3,0,0
Paddy Kavanagh,9,0,2,0
Darragh McDonald,1,0,1,3
Marty Murphy,0,1,0,0
Aoife Rose O'Brien,0,12,0,0
Robbie Staples,1,0,0,0
Catherine Biddy Walsh,0,1,0,0
