councillor,meetings_attended,apologies_recorded,motions_proposed,motions_seconded,remuneration_estimate
Pat Barden,43,0,6,27,32267.36
Anthony Donohoe,42,0,60,70,32267.36
Donal Kenny,39,1,32,64,32267.36
Aidan Browne,36,3,20,25,32267.36
Jim Moore,44,17,96,113,32267.36
Kathleen Codd-Nolan,41,2,92,131,32267.36
Leonard Kelly,36,6,90,116,32267.36
John Hegarty,43,5,59,54,32267.36
Michael Sheehan,46,20,312,186,32267.36
David Hynes,36,7,71,94,32267.36
Joe Sullivan,40,3,39,41,32267.36
John Fleming,42,18,75,79,32267.36
Mary Farrell,39,3,35,72,32267.36
Michael Whelan,43,8,61,77,32267.36
Pip Breen,38,6,71,97,32267.36
Tom Forde,35,26,87,46,32267.36
Willie Kavanagh,38,4,13,31,32267.36
Oliver Walsh,38,7,36,74,32267.36
Anthony Connick,33,3,24,45,32267.36
Diarmuid Devereux,34,1,0,1,32267.36
Maura Bell,38,3,19,39,32267.36
Gary Laffan,34,4,19,27,32267.36
John O'Rourke,37,1,42,32,32267.36
Cathal Byrne,34,2,9,1,32267.36
Fionntain O'Suilleabhain,28,1,4,1,32267.36
Andrew Bolger,35,2,12,9,32267.36
George Lawlor,33,5,109,103,32267.36
Lisa McDonald,33,9,56,39,32267.36
Jackser Owens,29,5,6,34,32267.36
Frank Staples,28,6,16,22,32267.36
Bridin Murphy,31,3,181,134,32267.36
Barbara-Anne Murphy,26,3,1,4,32267.36
Ger Codd,24,0,78,113,32267.36
Ger Carthy,28,14,301,211,32267.36
John Dwyer,1,4,14,10,32267.36
Pat Kehoe,1,1,25,27,32267.36
Raymond Shannon,1,2,0,7,32267.36
Vicky Barron,0,2,0,0,32267.36
Nicky Boland,1,0,0,2,32267.36
Patricia Byrne,0,1,0,0,32267.36
Craig Doyle,0,3,0,0,32267.36
Paddy Kavanagh,9,0,2,0,32267.36
Darragh McDonald,1,0,1,3,32267.36
Marty Murphy,0,1,0,0,32267.36
Aoife Rose O'Brien,0,12,0,0,32267.36
Robbie Staples,1,0,0,0,32267.36
Catherine Biddy Walsh,0,1,0,0,32267.36
